sample,MX1303_C5JC4ACXX_3_TAGGAT,MX1304_C5JC4ACXX_4_CCGGTG,MX1305_C5JC4ACXX_5_TGTTGG,MX1306_C5JC4ACXX_6_GTATAG,MX1307_C5JC4ACXX_7_AGCATC,MX1307_C5JC4ACXX_7_CAGGCC,MX1310_C5JC1ACXX_4_CTCTAC,MX1310_C5JC1ACXX_4_GGAACT,MX1310_C5JC1ACXX_4_GGACGG,MX1310_C5JC1ACXX_4_TGACAT,MX1355_C6RGTANXX_2_AAGCTA,MX1355_C6RGTANXX_2_ACATCG,MX1355_C6RGTANXX_2_CAAGTT,MX1355_C6RGTANXX_2_CATTCA,MX1355_C6RGTANXX_2_GGAACT,MX1356_C6RGTANXX_3_ATGGCA,MX1356_C6RGTANXX_3_CCTTGC,MX1356_C6RGTANXX_3_CGGCCT,MX1356_C6RGTANXX_3_GCGTGG,MX1356_C6RGTANXX_3_GCTGTA,MX1356_C6RGTANXX_3_GTATAG,MX1356_C6RGTANXX_3_TAGTTG,MX1356_C6RGTANXX_3_TGACAT,MX1357_C6RGTANXX_4_AATTAT,MX1357_C6RGTANXX_4_AGTCTT,MX1357_C6RGTANXX_4_CATGGG,MX1357_C6RGTANXX_4_GCCTAA,MX1357_C6RGTANXX_4_GTAGCC,MX1357_C6RGTANXX_4_TATCGT,MX1357_C6RGTANXX_4_TCTGAG
hsa-miR-6765-3p,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6765-5p,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6766-3p,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0,0,0,0,0
hsa-miR-6766-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6767-3p,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0
hsa-miR-6767-5p,0,0,0.034,0,0.038,0,0,0.024,0.049,0,0,0,0,0,0,0,0.132,0.129,0,0.03,0.035,0,0.044,0,0,0,0,0.057,0.027,0.03
hsa-miR-6768-3p,0,0,0,0.051,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6768-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6769a-3p,0,0,0,0.051,0.115,0.064,0,0,0.049,0.139,0,0.07,0,0,0,0,0.066,0,0.068,0.15,0.035,0,0.044,0.196,0.058,0,0.036,0,0.08,0.06
hsa-miR-6769a-5p,0.174,0.064,0.137,0,0.077,0,0,0.024,0.025,0.084,0,0.035,0,0,0,0,0.066,0,0,0,0.07,0,0,0,0,0.117,0.036,0,0,0.03
hsa-miR-6769b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0
hsa-miR-6769b-5p,0,0,0,0,0,0,0,0.024,0.025,0.028,0,0,0,0.114,0,0,0.066,0,0.068,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6770-3p,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6770-5p,0,0.129,0,0,0,0,0,0,0.025,0.028,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0
hsa-miR-6770-3p,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6770-5p,0,0.129,0,0,0,0,0,0,0.025,0.028,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0
hsa-miR-6770-3p,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6770-5p,0,0.129,0,0,0,0,0,0,0.025,0.028,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0
hsa-miR-6771-3p,0.087,0,0.034,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0.139,0,0,0,0,0,0,0,0.027,0
hsa-miR-6771-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0.06
hsa-miR-6772-3p,0,0,0.034,0,0.038,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6772-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6773-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
hsa-miR-6773-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6774-3p,0,0,0,0,0.115,0,0,0.024,0.049,0,0,0,0,0.114,0,0.146,0,0,0.068,0,0.139,0,0,0,0,0,0.071,0,0.027,0.089
hsa-miR-6774-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6775-3p,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0
hsa-miR-6775-5p,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
hsa-miR-6776-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6776-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0
hsa-miR-6777-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6777-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6778-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6778-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6779-3p,0.087,0,0.069,0,0,0,0,0,0.025,0.028,0,0,0,0,0,0.146,0,0,0,0.03,0,0,0.067,0,0,0,0,0,0,0
hsa-miR-6779-5p,0.435,0.064,0.034,0.101,0.115,0.128,0.089,0.118,0.074,0.111,0.388,0,0.187,0.114,0,0,0.132,0,0.068,0.03,0,0,0.022,0,0.029,0,0,0,0.053,0.03
hsa-miR-6780a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0
hsa-miR-6780a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6780b-3p,0,0,0.034,0.152,0,0,0,0.024,0.074,0.056,0,0.035,0,0,0,0.146,0.066,0,0.068,0,0.104,0,0.022,0,0.029,0.117,0,0,0.08,0
hsa-miR-6780b-5p,0,0.193,0.069,0,0,0,0.045,0,0,0.028,0,0,0,0,0,0,0,0,0,0.06,0.035,0,0.022,0,0,0,0,0,0,0
hsa-miR-6781-3p,0.087,0.129,0.034,0.051,0,0,0.045,0.047,0,0,0,0.035,0,0.114,0,0,0,0,0,0.03,0,0.295,0.044,0,0.029,0,0.036,0,0,0
hsa-miR-6781-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6782-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6782-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6783-3p,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6783-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6784-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0
hsa-miR-6784-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6785-3p,0,0,0,0,0,0,0.089,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0
hsa-miR-6785-5p,0.261,0,0.034,0,0,0,0.089,0,0.074,0,0,0.035,0.187,0.114,0,0,0.198,0,0.136,0,0.07,0,0.089,0.196,0.029,0,0.071,0,0,0
hsa-miR-6786-3p,0.087,0.193,0.069,0.051,0.115,0.064,0.045,0.213,0.123,0,0.388,0.035,0,0,0.269,0,0,0.129,0.068,0.06,0.209,0.295,0.067,0,0.086,0.117,0.143,0.115,0.08,0.089
hsa-miR-6786-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6787-3p,0.174,0.064,0.069,0.101,0.038,0.064,0,0.047,0,0.028,0,0,0,0.114,0.179,0,0,0,0,0.03,0.035,0,0.022,0,0,0,0.143,0.057,0,0.06
hsa-miR-6787-5p,0,0,0,0,0,0,0,0.071,0,0,0,0,0,0,0,0,0,0,0.068,0.03,0,0.295,0,0,0,0,0.036,0,0,0.06
hsa-miR-6788-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6788-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6789-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6789-5p,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6790-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6790-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6791-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6791-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6792-3p,0,0,0,0,0.154,0.064,0,0,0.025,0,0,0.035,0,0.114,0,0,0,0,0,0,0,0,0.022,0,0.029,0,0,0,0,0
hsa-miR-6792-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6793-3p,0,0,0.069,0.051,0,0,0,0.024,0.049,0.028,0,0,0,0,0,0,0,0,0.068,0,0,0,0.044,0,0.058,0,0.107,0,0.027,0
hsa-miR-6793-5p,0.435,0,0.411,0.202,0.154,0.255,0.089,0.166,0.123,0.251,0.388,0.351,0.373,0.227,0,0,0,0.771,0.272,0.09,0.104,0,0.244,0,0.058,0.352,0.214,0,0.186,0.447
hsa-miR-6794-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
